나이,성별,측정항목,평균,표준편차,샘플수
63,F,endurance,-0.9569331400906345,0.8545122136714888,337
63,F,flexibility,-0.07098326095481926,0.9519853948513889,337
63,F,strength,-0.5316715864154302,0.6819822245651553,337
63,M,endurance,-0.9789076065396289,0.7285106525931915,596
63,M,flexibility,0.012084163224283306,0.8442951019921751,596
63,M,strength,-0.7122166617483222,0.6033975311245883,596
64,F,endurance,-0.9140401866098191,0.9348642103660708,392
64,F,flexibility,0.0716646030051282,0.9045013530134948,392
64,F,strength,-0.5036134886147959,0.6995203632321105,392
64,M,endurance,-1.0357912203025719,0.7567484909655448,665
64,M,flexibility,0.03136148774849398,0.8257740458615828,665
64,M,strength,-0.7292798373924813,0.6697901144297503,665
65,F,endurance,0.41297570419966156,0.6809007322476365,595
65,F,flexibility,0.23724506664965989,0.8651410688222804,595
65,F,strength,0.47677650360840335,0.6755545078863169,595
65,M,endurance,0.2572763176489028,0.8791822864736911,960
65,M,flexibility,0.245672296539666,0.9231175513311791,960
65,M,strength,0.401680148746875,0.6791194751833732,960
66,F,endurance,0.41742742076263734,0.7061231120946984,461
66,F,flexibility,0.207726907254386,0.9406505375666343,461
66,F,strength,0.44734215561822127,0.6689673332267037,461
66,M,endurance,0.19047415475333332,0.9051633162024394,751
66,M,flexibility,0.22304955603475937,0.9648428692903476,751
66,M,strength,0.33726301188814917,0.6949174609556019,751
67,F,endurance,0.2943285643617463,0.7522238703223132,483
67,F,flexibility,0.22617451098340244,0.8807076676586617,483
67,F,strength,0.3251487801180124,0.7238610330197217,483
67,M,endurance,0.2827945247925532,0.8409984276639727,754
67,M,flexibility,0.15573115579415672,0.9287226707829956,754
67,M,strength,0.32923265124535805,0.6986589677082372,754
68,F,endurance,0.3971442677522522,0.8206893317353476,447
68,F,flexibility,0.16321021880449438,0.9587398145759813,447
68,F,strength,0.27960278992170023,0.6773731247557783,447
68,M,endurance,0.23842069183418801,0.8516971382557841,587
68,M,flexibility,0.11442137327986349,0.9504933395031263,587
68,M,strength,0.28758625523850084,0.6781093798903111,587
69,F,endurance,0.31455207676570046,0.8227728398430909,415
69,F,flexibility,0.1349793174516908,0.9618258317956422,415
69,F,strength,0.3492755713903615,0.7044399956296171,415
69,M,endurance,0.1754078753503185,0.8943309437924054,628
69,M,flexibility,0.08450493566826155,0.9201362768833451,628
69,M,strength,0.23468629500955418,0.6724203445387259,628
70,F,endurance,0.2038263724156479,0.7689522796837709,410
70,F,flexibility,0.04881337463902438,0.9684720219827311,410
70,F,strength,0.24183206992682926,0.6856433957474374,410
70,M,endurance,0.222453724463138,0.9113076020833113,529
70,M,flexibility,0.1271262948617424,0.9432506091519055,529
70,M,strength,0.15659912258412098,0.7419052612244077,529
71,F,endurance,0.1998026534158416,0.9320959378732143,405
71,F,flexibility,0.16616347430198017,0.9302859734354166,405
71,F,strength,0.18049529100987655,0.723708194656309,405
71,M,endurance,0.14453870938051044,0.9028742258818261,433
71,M,flexibility,0.0080875172255814,0.8869635172612109,433
71,M,strength,0.1367531336812933,0.7425840564560139,433
72,F,endurance,0.21463701807435892,0.8820269192076837,395
72,F,flexibility,-0.009034400396946553,0.9781678220013716,395
72,F,strength,0.1860294468050633,0.7178965039568038,395
72,M,endurance,0.1119144930607843,0.9427874536884384,511
