나이,성별,측정항목,평균,표준편차,최소값,최대값,샘플수
42,F,shuttle_run,30.118181818181814,3.6432110854282116,24.2,39.8,22
42,F,sit_up,23.70769230769231,10.780078671041606,0.0,47.0,65
42,F,vo2max,118.22222222222223,17.915041667512746,86.0,160.0,27
42,M,grip_right,26.361904761904757,3.2929609030313,20.7,40.6,84
42,M,shuttle_run,40.27307692307692,4.491641810501608,32.6,48.6,26
42,M,sit_up,38.86904761904762,11.733773478548914,0.0,61.0,84
42,M,vo2max,107.40384615384616,20.85078605316094,56.0,154.0,52
43,F,grip_right,23.561016949152545,2.8872500309268476,18.8,33.8,59
43,F,shuttle_run,31.15454545454546,2.875539475077203,28.5,39.1,11
43,F,sit_up,25.423728813559322,12.158725247711121,1.0,56.0,59
43,F,vo2max,114.17647058823529,18.525119045518274,79.0,150.0,34
43,M,grip_right,25.654400000000003,2.946361999527224,19.1,36.3,125
43,M,shuttle_run,38.6952380952381,2.840813382402179,32.3,44.7,42
43,M,sit_up,36.699186991869915,10.79612480517939,0.0,64.0,123
43,M,vo2max,110.82608695652173,21.147908060734245,66.0,156.0,69
44,F,grip_right,24.021212121212123,4.347926655368763,17.0,35.1,66
44,F,shuttle_run,30.041666666666668,4.493755732092049,23.6,39.6,24
44,F,sit_up,23.015625,13.435905682459092,0.0,50.0,64
44,F,vo2max,115.03225806451613,20.729180512774324,73.0,155.0,31
44,M,grip_right,24.939639639639637,2.4633782893077134,19.7,31.9,111
44,M,shuttle_run,39.359375,3.8055866721643374,28.1,46.3,32
44,M,sit_up,39.6036036036036,11.565842561988909,0.0,60.0,111
44,M,vo2max,112.63076923076923,17.630379702704605,71.0,148.0,65
45,F,grip_right,22.92375,2.7481291104303915,17.2,29.1,80
45,F,shuttle_run,29.994999999999997,2.795762771353143,26.8,39.9,20
45,F,sit_up,25.846153846153847,10.153467737325366,0.0,54.0,78
45,F,vo2max,115.31818181818181,18.238437212825374,76.0,150.0,44
45,M,grip_right,25.801960784313724,2.567580838996805,20.5,33.8,102
45,M,shuttle_run,37.00294117647059,3.8745076163510395,27.4,46.6,34
45,M,sit_up,37.63725490196079,10.364437689882212,0.0,60.0,102
45,M,vo2max,108.24561403508773,18.326679129613186,66.0,150.0,57
46,F,grip_right,22.672916666666666,3.287418930855992,17.5,32.9,48
46,F,shuttle_run,29.3,3.190611226708764,24.0,36.6,11
46,F,sit_up,20.854166666666668,12.442189010615717,0.0,50.0,48
46,F,vo2max,114.61290322580645,22.364670679973266,70.0,147.0,31
46,M,grip_right,26.04019607843137,3.2349961300089043,20.4,36.5,102
46,M,shuttle_run,38.70789473684211,4.59520205590202,27.1,49.2,38
46,M,sit_up,39.3921568627451,11.369715604431164,0.0,62.0,102
46,M,vo2max,108.68518518518519,19.422632270232633,72.0,153.0,54
47,F,grip_right,23.436666666666664,2.598889376002866,16.9,32.5,60
47,F,shuttle_run,29.86666666666667,2.594407905660246,25.1,36.6,15
47,F,sit_up,22.45,11.551542563364443,0.0,45.0,60
47,F,vo2max,109.44444444444444,19.500164364856268,67.0,149.0,27
47,M,grip_right,25.321739130434782,2.6603222695765854,18.4,32.7,69
47,M,shuttle_run,38.72727272727274,4.878932535297316,29.8,49.0,22
47,M,sit_up,36.44927536231884,11.930603544572522,0.0,63.0,69
47,M,vo2max,112.57894736842105,18.07436826146931,75.0,147.0,38
48,F,grip_right,22.96545454545454,3.330622129729485,15.2,30.2,55
48,F,shuttle_run,28.572727272727267,1.46293602668805,26.2,31.3,11
